# author_listening_pass_2026-08-16.csv -- candidate-review assessments: manual listening review by the author against scripts/candidate_kit.py build's index.html; register explicitly not ground truth.
# Provenance: this register is explicitly not ground truth (Jinyuan ruling, 2026-08-04) -- a candidate is a model-flagged window on a day WITHOUT induced anomalies; 'assessment' records the author's own qualitative listening judgement, nothing more.
# Handover scope: this file is the author's OWN qualitative listening pass (a thesis artifact / audit trail) -- it is NOT part of the expert handover deliverable. The handover product is scripts/candidate_kit.py build's review tool (results/candidate-kit/index.html) with every assessment left EMPTY for the plant experts themselves to fill in (Stefan's decision 2026-08-16).
# Source: /private/tmp/claude-501/-Users-stefankrummenacher-AI-Workspace-master-thesis/00bed1ae-dfe6-4441-9a38-00583bd6fbc8/scratchpad/assessments_bulk_2026-08-16.csv
# Compiled: 2026-08-16 (scripts/candidate_kit.py compile, --date kept explicit for reproducibility).
session,candidate_id,class,start_utc,duration_s,min_p,state_name,near_transition,scada_state,scada_transition,assessment,note
010726-tu_ph_tu,010726-tu_ph_tu-01,transient,2026-07-01T20:51:39.898000+00:00,1.0,0.00044583147570218456,turbine,False,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-02,transient,2026-07-01T20:52:14.898000+00:00,1.0,0.00044583147570218456,turbine,False,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-03,transient,2026-07-01T13:51:58.898000+00:00,1.0,0.0004993757802746567,turbine,True,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-04,transient,2026-07-01T13:52:03.898000+00:00,1.0,0.000749063670411985,turbine,True,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-05,transient,2026-07-01T13:52:19.898000+00:00,1.0,0.0007914523149980214,standstill,False,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-06,sustained,2026-07-01T13:46:03.898000+00:00,9.0,0.0008759124087591241,turbine,False,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-07,transient,2026-07-01T20:51:29.898000+00:00,1.0,0.0008916629514043691,turbine,False,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-08,transient,2026-07-01T20:51:44.898000+00:00,1.0,0.0008916629514043691,turbine,False,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-09,transient,2026-07-01T20:51:49.898000+00:00,1.0,0.0008916629514043691,turbine,False,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-10,transient,2026-07-01T20:51:54.898000+00:00,1.0,0.0008916629514043691,turbine,False,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
