# strikes_register_pu.csv -- PU-session (pump, -279 MW) verification register: 90 protocol slots (12 positions x3 + 18 guide-vane covers x3), one row per intended Schonhammer strike.
# Provenance: reproduction of the measurement partner's strike-detection method (attributed external reference, sensing-group/hydropower-anomaly, cloned 2026-08-18) on our own raw audio; NOT the partner's own output.
# Method: 5-20 kHz Butterworth-4 bandpass -> 2 ms energy envelope -> per-channel MAD z-score over the 9 mics -> max across channels -> threshold k>30, frames <0.25 s merged into one impulse group; slot filled by pairing each mark/detector timestamp against the protocol slot within +/-0.3 s.
# Run: 2026-08-18/19, results/strike-repro/{repro_bruno_strikes.py,build_strike_register.py}, on data/illwerke-080726/20260708 Messung/. Timebase: Gantner epoch-2000 wall clock -> true UTC (wall - 2h).
# EDGE-ARTIFACT CORRECTION: causal-filter ring-in at each read-chunk start produced fake impulses -- 10/94 raw PU detections were such artifacts (one per position minute under pump noise; the partner's own per-minute scan carries the same artifact: his "4th impulses" at PU positions and his lone under-pump landmark detections are the same ring-in transient, not real strikes). Fixed with EDGE_GUARD_S=0.05 (first 50 ms of each chunk excluded). Validation: guard disabled reproduces the partner's published per-minute table exactly, 30/30 reference values.
# Columns: slot,strike_no,t_utc,source,det_k,gt_mark_no. source: both (annotator mark + detector agree <=0.3 s) / annotated-only / detector-only / unresolved (no timestamp recovered) / rhythm-inferred (matched-filter scan below the null, see last_six_verdicts.csv; t_utc left blank).
# TALLY AS SHIPPED (counted directly from this file, 2026-08-19): 80 both + 4 annotated-only = 84 measured, 4 rhythm-inferred (landmark-A_kugelschieber#2/#3, landmark-C_EG#2/#3), 2 unresolved (landmark-A_kugelschieber#1, landmark-C_EG#1) = 90.
# CAVEAT: the analysis trail documents two template-confirmed single strikes recovered for the 2 unresolved slots above (A_kugelschieber 2026-07-08T12:49:46.216+00:00, C_EG 2026-07-08T13:01:19.670+00:00, via confirm_missing_strikes.py) -- that resolution was never written back into this register. See ../README.md and research/notes/analysis_2026-08-18_bruno_180_hits_reproduction.md (master-thesis repo) for the full derivation.
# This is an independent verification track; the canonical per-strike ground truth for evaluation remains ../080726_strikes_seconds_pu.csv (annotator marks).
# CONSOLIDATED 2026-08-19 (consolidate_register.py): bearing-based ST vane assignment and the two template-confirmed PU landmark singles merged in; tally now 174/180 measured + 6 rhythm-inferred across both sessions.
# DOWNGRADE 2026-08-19 (post listening review): the two under-pump landmark template finds are kept only as source=candidate-statistical (score barely above the point-test null, NOT audible to the annotator, NOT visually distinguishable from background in fine-resolution spectrograms; zoom_check_*.png). Measured tally is 172/180 (ST 88, PU 84); the 6 PU landmark slots count as unresolved under pump noise.
slot,strike_no,t_utc,source,det_k,gt_mark_no
plate-gen_0,1,2026-07-08T12:43:01.568+00:00,both,1897,1
plate-gen_0,2,2026-07-08T12:43:02.248+00:00,both,3860,2
plate-gen_0,3,2026-07-08T12:43:03.023+00:00,both,4580,3
plate-gen_90,1,2026-07-08T12:44:01.822+00:00,both,7104,1
plate-gen_90,2,2026-07-08T12:44:02.654+00:00,both,13652,2
plate-gen_90,3,2026-07-08T12:44:03.391+00:00,both,11519,3
plate-gen_180,1,2026-07-08T12:45:03.051+00:00,both,1596,1
plate-gen_180,2,2026-07-08T12:45:03.869+00:00,both,1465,2
plate-gen_180,3,2026-07-08T12:45:04.590+00:00,both,3415,3
plate-gen_270,1,2026-07-08T12:46:02.120+00:00,both,928,1
plate-gen_270,2,2026-07-08T12:46:02.833+00:00,both,1444,2
plate-gen_270,3,2026-07-08T12:46:03.636+00:00,both,578,3
plate-tur_bottom,1,2026-07-08T12:47:02.454+00:00,both,2156,1
plate-tur_bottom,2,2026-07-08T12:47:03.241+00:00,both,4816,2
plate-tur_bottom,3,2026-07-08T12:47:04.090+00:00,both,10674,3
landmark-B_11TG,1,2026-07-08T12:48:03.190+00:00,both,245,1
landmark-B_11TG,2,2026-07-08T12:48:03.843+00:00,both,167,2
landmark-B_11TG,3,2026-07-08T12:48:04.657+00:00,both,117,3
landmark-A_kugelschieber,1,2026-07-08T12:49:46.216+00:00,candidate-statistical,,
landmark-A_kugelschieber,2,,rhythm-inferred,,
landmark-A_kugelschieber,3,,rhythm-inferred,,
plate-tur_0,1,2026-07-08T12:54:02.531+00:00,both,3158,1
plate-tur_0,2,2026-07-08T12:54:03.124+00:00,both,5751,2
plate-tur_0,3,2026-07-08T12:54:03.827+00:00,both,2768,3
plate-tur_90,1,2026-07-08T12:55:01.795+00:00,both,681,1
plate-tur_90,2,2026-07-08T12:55:02.473+00:00,both,2152,2
plate-tur_90,3,2026-07-08T12:55:03.006+00:00,both,971,3
plate-tur_180,1,2026-07-08T12:56:02.339+00:00,both,2566,1
plate-tur_180,2,2026-07-08T12:56:02.977+00:00,both,1219,2
plate-tur_180,3,2026-07-08T12:56:03.555+00:00,both,2357,3
plate-tur_270,1,2026-07-08T12:57:02.221+00:00,both,1809,1
plate-tur_270,2,2026-07-08T12:57:02.819+00:00,both,3449,2
plate-tur_270,3,2026-07-08T12:57:03.437+00:00,both,11776,3
landmark-C_EG,1,2026-07-08T13:01:19.670+00:00,candidate-statistical,,
landmark-C_EG,2,,rhythm-inferred,,
landmark-C_EG,3,,rhythm-inferred,,
vane_01,1,2026-07-08T12:50:29.216+00:00,both,1069,1
vane_01,2,2026-07-08T12:50:29.877+00:00,both,702,2
